ID,Feed,Sentiment
1,m3alem bourjilia w illi ma yefehmouch yelzmou ya9ra 5 ans plus le bac,Positive
2,Ya m3alllam,Positive
3,Ma7lek! Zin ou fannena 7loua.,Positive
4,hhhhh ya bliiiiiiiida ya Hanen,Negative
5,Nikraha w ma5yebha pffff,Negative
6,3sal denya :*,Positive
7,سي جلول يعطيك ألف صحة و ربي يبارك فيك وكأنك شرهة في شباب باش يزيد يقرأ أكثر,Positive
8,Ya mama mali masta lasta :p :p,Negative
9,Bravo Neji jelloul,Positive
10,نسحو يفهم في كل شيء,Positive
11,Rak taaafeh wkan tnaber beeef,Negative
12,Weld asel et  metrobi,Positive
13,Dima classe fi kemla mahlek,Positive
14,ma7léhom <3,Positive
15,Berrasmi khiit lotfi,Negative
16,mella marek krahnekom,Negative
17,برافو توفيق بردت على برشة قلوب,Positive
18,أحلى صافي سعيد,Positive
19,احترم هذا الرجل من اليوم لغدوة,Positive
20,امين عجبني كوستيمك يااااسر مزيان 😍,Negative
21,وليد التونسي راجل ولد راجل تونسي أب عن جد,Positive
22,Ma7leeeeha,Positive
23,لطفي العبدلي فنان كبير برشة برشة,Positive
24,"Mash'Allah 3liha , rabbi ysoun w yberik :*",Positive
25,تعجبني هاجر زعما نلقى وحد كيفها تعيش معايا في الجزائر,Positive
26,ياسر محلاها  أناقة ثقافة و رجولة,Positive
27,bravo naji jaloul,Positive
28,tha3louba majet chy 3amla fiha 9afza,Negative
29,Moufida salbiya w masta lasta 😠😠😠,Negative
30,ساقطات,Negative
31,العربي الماسط مرجتونا بيه,Negative
32,Mamstek ya semi ken fi belek suspense rahou maset barcha,Negative
33,yaser masta kan mchet th9fet  rou7a 5ire,Negative
34,اقمار فى رمضان...ربى يهديكم,Negative
35,Se3a ena te3jebni etofla litsou9 moutoue'r,Positive
36,والله بنات بألف راجل,Positive
37,الفضل يرجع لأمهم الفاضلة اللي ربتهم تربية سليمة ة ما خلتهمش يهزو الغل لبوهم كيما بعض النساء اللي اول ما تطلق تكره اولادها في بوهم و اهله ....الله يحفظ البنات ما احنهم,Positive
38,Mé watahach etGou3iiiiiR hhhhhhhhhhhhh,Negative
39,Tefou,Negative
40,"oh mamastak mana7amlouch jemla, al fan 3ando nesso y weldi, mala cha3ar 9oul 9anfoud ,9amek 9ari",Negative
41,Ya 5asra walhi 5alit balstik ya chakib,Negative
42,Na7aw aka lmasta maya jebo wa7ed amset mznha pfffffff,Negative
43,منحط لا تربيه لا ثقافه تو من قلة المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو,Negative
44,sa7a wlid,Positive
45,اووووه قداش معيوه و ماسط و خامج,Negative
46,ملا شخصية صبري تحفون برشا,Positive
47,لعنت الله عليك احترمنا شويا,Negative
48,em 3alem,Positive
